ID,n_sms,mean_happy,mean_lonely
1551,14,6.428571428571429,3.5833333333333335
1554,19,7.631578947368421,2.9
1555,16,7.5625,4.0625
1557,16,7.0625,2.0
1559,13,7.538461538461538,3.625
1560,16,6.6875,3.6666666666666665
1561,11,5.0,4.444444444444445
1565,16,6.6875,5.529411764705882
1566,14,6.285714285714286,6.4
1567,10,8.0,3.533333333333333
1570,17,7.705882352941177,1.8181818181818181
1571,11,8.272727272727273,7.142857142857143
1573,2,4.0,8.0
1574,10,7.0,4.3076923076923075
1575,12,7.833333333333333,4.133333333333334
1579,16,4.625,3.4545454545454546
1580,14,4.928571428571429,3.1818181818181817
1582,15,5.2,3.4545454545454546
1584,13,6.0,4.076923076923077
1586,20,6.95,4.333333333333333
1587,11,5.363636363636363,5.090909090909091
1588,13,9.076923076923077,2.642857142857143
1589,14,5.714285714285714,5.3076923076923075
1592,11,7.0,6.3076923076923075
1596,15,5.466666666666667,4.428571428571429
1602,14,7.285714285714286,3.5
1606,9,8.666666666666666,3.0952380952380953
1607,15,5.466666666666667,5.076923076923077
