id,wta_change_code1,wta_change_code2,wta_change_code3,startdate,fbhrs_iphone_success,battery_days,fbhrs_battery,fbhrs_nonbattery,fbhrs_noapp,autom_reac,apps_less_use
694,Convex cost,Misunderst. 4vs8 wks,,03/12/2018 08:02,,,,,1.5,,ANONYMIZED
699,Convex cost,,,03/12/2018 08:16,Yes,Last 7 days,0 hours and minutes,,,,ANONYMIZED
700,Strategic BDM,,,03/12/2018 10:57,Yes,Last 10 days,2 hours 21 minutes: 1 hour 40 minutes on screen; 41 minutes in background,,,No,ANONYMIZED
704,,,,04/12/2018 08:38,Yes,Last day,1 hour 43 minutes,,,,ANONYMIZED
708,Strategic BDM,,,03/12/2018 07:52,Yes,Last 7 days,6.8 hours,,,Yes,ANONYMIZED
712,,,,04/12/2018 15:36,,,,20.0,,Yes,ANONYMIZED
714,,,,03/12/2018 11:09,Yes,Last 10 days,7.23,,,Yes,ANONYMIZED
717,Convex cost,Anchoring,Strategic BDM,03/12/2018 08:39,,,,21.0,,,ANONYMIZED
720,,,,03/12/2018 08:05,,,,4.0,,No,ANONYMIZED
727,,,,05/12/2018 18:17,,,,8.0,,Yes,ANONYMIZED
728,Strategic BDM,,,06/12/2018 08:42,,,,,21.0,No,ANONYMIZED
731,Other,,,03/12/2018 08:12,,,,8.0,,No,ANONYMIZED
733,Strategic BDM,,,11/12/2018 12:44,,,,6.0,,No,ANONYMIZED
734,,,,03/12/2018 08:05,,,,14.0,,No,ANONYMIZED
737,,,,03/12/2018 08:02,,,,10.0,,No,ANONYMIZED
738,,,,04/12/2018 15:14,,,,,7.0,No,ANONYMIZED
739,,,,04/12/2018 15:23,,,,0.0,,,ANONYMIZED
741,Other,,,03/12/2018 08:02,,,,15.0,,Yes,ANONYMIZED
744,Time shock,,,10/12/2018 08:49,,,,14.0,,,ANONYMIZED
745,,,,03/12/2018 09:38,,,,,2.0,Yes,ANONYMIZED
746,Strategic BDM,Anchoring,,03/12/2018 10:39,,,,,7.0,No,ANONYMIZED
747,Other,,,03/12/2018 16:53,Yes,Last day,1 hr and 43 min,,,No,ANONYMIZED
750,,,,03/12/2018 18:53,,,,5.0,,No,ANONYMIZED
